,abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary,image_url
156,"['Blaze', 'Flash Fire']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,84.0,5120.0,70.0,534.0,45,Volcano Pokémon,78.0,1059860.0,1.7,78.0,Typhlosion,88.1,157.0,109.0,85.0,100.0,fire,,79.5,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/157.png
157,"['Torrent', 'Sheer Force']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,65.0,5120.0,70.0,314.0,45,Big Jaw Pokémon,64.0,1059860.0,0.6,50.0,Totodile,88.1,158.0,44.0,48.0,43.0,water,,9.5,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/158.png
158,"['Torrent', 'Sheer Force']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,80.0,5120.0,70.0,405.0,45,Big Jaw Pokémon,80.0,1059860.0,1.1,65.0,Croconaw,88.1,159.0,59.0,63.0,58.0,water,,25.0,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/159.png
159,"['Torrent', 'Sheer Force']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,105.0,5120.0,70.0,530.0,45,Big Jaw Pokémon,100.0,1059860.0,2.3,85.0,Feraligatr,88.1,160.0,79.0,83.0,78.0,water,,88.8,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/160.png
160,"['Run Away', 'Keen Eye', 'Frisk']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,46.0,3840.0,70.0,215.0,255,Scout Pokémon,34.0,1000000.0,0.8,35.0,Sentret,50.0,161.0,35.0,45.0,20.0,normal,,6.0,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/161.png
161,"['Run Away', 'Keen Eye', 'Frisk']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,76.0,3840.0,70.0,415.0,90,Long Body Pokémon,64.0,1000000.0,1.8,85.0,Furret,50.0,162.0,45.0,55.0,90.0,normal,,32.5,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/162.png
162,"['Insomnia', 'Keen Eye', 'Tinted Lens']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,30.0,3840.0,70.0,262.0,255,Owl Pokémon,30.0,1000000.0,0.7,60.0,Hoothoot,50.0,163.0,36.0,56.0,50.0,normal,flying,21.2,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/163.png
163,"['Insomnia', 'Keen Eye', 'Tinted Lens']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,50.0,3840.0,70.0,452.0,90,Owl Pokémon,50.0,1000000.0,1.6,100.0,Noctowl,50.0,164.0,86.0,96.0,70.0,normal,flying,40.8,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/164.png
164,"['Swarm', 'Early Bird', 'Rattled']",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,20.0,3840.0,70.0,265.0,255,Five Star Pokémon,30.0,800000.0,1.0,40.0,Ledyba,50.0,165.0,40.0,80.0,55.0,bug,flying,10.8,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/165.png
165,"['Swarm', 'Early Bird', 'Iron Fist']",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,35.0,3840.0,70.0,390.0,90,Five Star Pokémon,50.0,800000.0,1.4,55.0,Ledian,50.0,166.0,55.0,110.0,85.0,bug,flying,35.6,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/166.png
166,"['Swarm', 'Insomnia', 'Sniper']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,60.0,3840.0,70.0,250.0,255,String Spit Pokémon,40.0,800000.0,0.5,40.0,Spinarak,50.0,167.0,40.0,40.0,30.0,bug,poison,8.5,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/167.png
167,"['Swarm', 'Insomnia', 'Sniper']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,90.0,3840.0,70.0,400.0,90,Long Leg Pokémon,70.0,800000.0,1.1,70.0,Ariados,50.0,168.0,60.0,70.0,40.0,bug,poison,33.5,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/168.png
168,"['Inner Focus', 'Infiltrator']",0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,90.0,3840.0,70.0,535.0,90,Bat Pokémon,80.0,1000000.0,1.8,85.0,Crobat,50.0,169.0,70.0,80.0,130.0,poison,flying,75.0,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/169.png
169,"['Volt Absorb', 'Illuminate', 'Water Absorb']",1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,0.25,0.5,38.0,5120.0,70.0,330.0,190,Angler Pokémon,38.0,1250000.0,0.5,75.0,Chinchou,50.0,170.0,56.0,56.0,67.0,water,electric,12.0,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/170.png
170,"['Volt Absorb', 'Illuminate', 'Water Absorb']",1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,0.25,0.5,58.0,5120.0,70.0,460.0,75,Light Pokémon,58.0,1250000.0,1.2,125.0,Lanturn,50.0,171.0,76.0,76.0,67.0,water,electric,22.5,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/171.png
171,"['Static', 'Lightningrod']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,40.0,2560.0,70.0,205.0,190,Tiny Mouse Pokémon,15.0,1000000.0,0.3,20.0,Pichu,50.0,172.0,35.0,35.0,60.0,electric,,2.0,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/172.png
172,"['Cute Charm', 'Magic Guard', 'Friend Guard']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,25.0,2560.0,140.0,218.0,150,Star Shape Pokémon,28.0,800000.0,0.3,50.0,Cleffa,24.6,173.0,45.0,55.0,15.0,fairy,,3.0,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/173.png
173,"['Cute Charm', 'Competitive', 'Friend Guard']",0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,30.0,2560.0,70.0,210.0,170,Balloon Pokémon,15.0,800000.0,0.3,90.0,Igglybuff,24.6,174.0,40.0,20.0,15.0,normal,fairy,1.0,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/174.png
174,"['Hustle', 'Serene Grace', 'Super Luck']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,20.0,2560.0,70.0,245.0,190,Spike Ball Pokémon,65.0,800000.0,0.3,35.0,Togepi,88.1,175.0,40.0,65.0,20.0,fairy,,1.5,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/175.png
175,"['Hustle', 'Serene Grace', 'Super Luck']",0.25,0.5,0.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,0.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,40.0,2560.0,70.0,405.0,75,Happiness Pokémon,85.0,800000.0,0.6,55.0,Togetic,88.1,176.0,80.0,105.0,40.0,fairy,flying,3.2,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/176.png
176,"['Synchronize', 'Early Bird', 'Magic Bounce']",1.0,2.0,1.0,2.0,1.0,0.25,1.0,1.0,2.0,0.5,0.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,50.0,5120.0,70.0,320.0,190,Little Bird Pokémon,45.0,1000000.0,0.2,40.0,Natu,50.0,177.0,70.0,45.0,70.0,psychic,flying,2.0,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/177.png
177,"['Synchronize', 'Early Bird', 'Magic Bounce']",1.0,2.0,1.0,2.0,1.0,0.25,1.0,1.0,2.0,0.5,0.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,75.0,5120.0,70.0,470.0,75,Mystic Pokémon,70.0,1000000.0,1.5,65.0,Xatu,50.0,178.0,95.0,70.0,95.0,psychic,flying,15.0,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/178.png
178,"['Static', 'Plus']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,40.0,5120.0,70.0,280.0,235,Wool Pokémon,40.0,1059860.0,0.6,55.0,Mareep,50.0,179.0,65.0,45.0,35.0,electric,,7.8,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/179.png
179,"['Static', 'Plus']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,55.0,5120.0,70.0,365.0,120,Wool Pokémon,55.0,1059860.0,0.8,70.0,Flaaffy,50.0,180.0,80.0,60.0,45.0,electric,,13.3,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/180.png
180,"['Static', 'Plus']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,95.0,5120.0,70.0,610.0,45,Light Pokémon,105.0,1059860.0,1.4,90.0,Ampharos,50.0,181.0,165.0,110.0,45.0,electric,,61.5,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/181.png
181,"['Chlorophyll', 'Healer']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,80.0,5120.0,70.0,490.0,45,Flower Pokémon,95.0,1059860.0,0.4,75.0,Bellossom,50.0,182.0,90.0,100.0,50.0,grass,,5.8,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/182.png
182,"['Thick Fat', 'Huge Power', 'Sap Sipper']",0.5,0.5,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,20.0,2560.0,70.0,250.0,190,Aquamouse Pokémon,50.0,800000.0,0.4,70.0,Marill,50.0,183.0,20.0,50.0,40.0,water,fairy,8.5,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/183.png
183,"['Thick Fat', 'Huge Power', 'Sap Sipper']",0.5,0.5,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,50.0,2560.0,70.0,420.0,75,Aquarabbit Pokémon,80.0,800000.0,0.8,100.0,Azumarill,50.0,184.0,60.0,80.0,50.0,water,fairy,28.5,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/184.png
184,"['Sturdy', 'Rock Head', 'Rattled']",1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0,100.0,5120.0,70.0,410.0,65,Imitation Pokémon,115.0,1000000.0,1.2,70.0,Sudowoodo,50.0,185.0,30.0,65.0,30.0,rock,,38.0,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/185.png
185,"['Water Absorb', 'Damp', 'Drizzle']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,75.0,5120.0,70.0,500.0,45,Frog Pokémon,75.0,1059860.0,1.1,90.0,Politoed,50.0,186.0,90.0,100.0,70.0,water,,33.9,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/186.png
186,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.25,0.0,4.0,1.0,2.0,1.0,2.0,1.0,0.5,35.0,5120.0,70.0,250.0,255,Cottonweed Pokémon,40.0,1059860.0,0.4,35.0,Hoppip,50.0,187.0,35.0,55.0,50.0,grass,flying,0.5,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/187.png
187,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.25,0.0,4.0,1.0,2.0,1.0,2.0,1.0,0.5,45.0,5120.0,70.0,340.0,120,Cottonweed Pokémon,50.0,1059860.0,0.6,55.0,Skiploom,50.0,188.0,45.0,65.0,80.0,grass,flying,1.0,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/188.png
188,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.25,0.0,4.0,1.0,2.0,1.0,2.0,1.0,0.5,55.0,5120.0,70.0,460.0,45,Cottonweed Pokémon,70.0,1059860.0,0.8,75.0,Jumpluff,50.0,189.0,55.0,95.0,110.0,grass,flying,3.0,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/189.png
189,"['Run Away', 'Pickup', 'Skill Link']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70.0,5120.0,70.0,360.0,45,Long Tail Pokémon,55.0,800000.0,0.8,55.0,Aipom,50.0,190.0,40.0,55.0,85.0,normal,,11.5,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/190.png
190,"['Chlorophyll', 'Solar Power', 'Early Bird']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,30.0,5120.0,70.0,180.0,235,Seed Pokémon,30.0,1059860.0,0.3,30.0,Sunkern,50.0,191.0,30.0,30.0,30.0,grass,,1.8,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/191.png
191,"['Chlorophyll', 'Solar Power', 'Early Bird']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,75.0,5120.0,70.0,425.0,120,Sun Pokémon,55.0,1059860.0,0.8,75.0,Sunflora,50.0,192.0,105.0,85.0,30.0,grass,,8.5,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/192.png
192,"['Speed Boost', 'Compoundeyes', 'Frisk']",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,65.0,5120.0,70.0,390.0,75,Clear Wing Pokémon,45.0,1000000.0,1.2,65.0,Yanma,50.0,193.0,75.0,45.0,95.0,bug,flying,38.0,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/193.png
193,"['Damp', 'Water Absorb', 'Unaware']",1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,4.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,45.0,5120.0,70.0,210.0,255,Water Fish Pokémon,45.0,1000000.0,0.4,55.0,Wooper,50.0,194.0,25.0,25.0,15.0,water,ground,8.5,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/194.png
194,"['Damp', 'Water Absorb', 'Unaware']",1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,4.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,85.0,5120.0,70.0,430.0,90,Water Fish Pokémon,85.0,1000000.0,1.4,95.0,Quagsire,50.0,195.0,65.0,65.0,35.0,water,ground,75.0,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/195.png
195,"['Synchronize', 'Magic Bounce']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,65.0,8960.0,70.0,525.0,45,Sun Pokémon,60.0,1000000.0,0.9,65.0,Espeon,88.1,196.0,130.0,95.0,110.0,psychic,,26.5,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/196.png
196,"['Synchronize', 'Inner Focus']",2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,65.0,8960.0,35.0,525.0,45,Moonlight Pokémon,110.0,1000000.0,1.0,95.0,Umbreon,88.1,197.0,60.0,130.0,65.0,dark,,27.0,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/197.png
197,"['Insomnia', 'Super Luck', 'Prankster']",1.0,0.5,1.0,2.0,2.0,1.0,1.0,1.0,0.5,0.5,0.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,85.0,5120.0,35.0,405.0,30,Darkness Pokémon,42.0,1059860.0,0.5,60.0,Murkrow,50.0,198.0,85.0,42.0,91.0,dark,flying,2.1,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/198.png
198,"['Oblivious', 'Own Tempo', 'Regenerator']",2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,75.0,5120.0,70.0,490.0,70,Royal Pokémon,80.0,1000000.0,2.0,95.0,Slowking,50.0,199.0,100.0,110.0,30.0,water,psychic,79.5,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/199.png
199,['Levitate'],0.5,2.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,60.0,6400.0,35.0,435.0,45,Screech Pokémon,60.0,800000.0,0.7,60.0,Misdreavus,50.0,200.0,85.0,85.0,85.0,ghost,,1.0,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/200.png
200,['Levitate'],2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,72.0,10240.0,70.0,336.0,225,Symbol Pokémon,48.0,1000000.0,0.5,48.0,Unown,,201.0,72.0,48.0,48.0,psychic,,5.0,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/201.png
201,"['Shadow Tag', 'Telepathy']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,33.0,5120.0,70.0,405.0,45,Patient Pokémon,58.0,1000000.0,1.3,190.0,Wobbuffet,50.0,202.0,33.0,58.0,33.0,psychic,,28.5,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/202.png
202,"['Inner Focus', 'Early Bird', 'Sap Sipper']",2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,80.0,5120.0,70.0,455.0,60,Long Neck Pokémon,65.0,1000000.0,1.5,70.0,Girafarig,50.0,203.0,90.0,65.0,85.0,normal,psychic,41.5,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/203.png
203,"['Sturdy', 'Overcoat']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,65.0,5120.0,70.0,290.0,190,Bagworm Pokémon,90.0,1000000.0,0.6,50.0,Pineco,50.0,204.0,35.0,35.0,15.0,bug,,7.2,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/204.png
204,"['Sturdy', 'Overcoat']",0.5,1.0,0.5,1.0,0.5,1.0,4.0,1.0,1.0,0.25,1.0,0.5,0.5,0.0,0.5,1.0,0.5,1.0,90.0,5120.0,70.0,465.0,75,Bagworm Pokémon,140.0,1000000.0,1.2,75.0,Forretress,50.0,205.0,60.0,60.0,40.0,bug,steel,125.8,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/205.png
205,"['Serene Grace', 'Run Away', 'Rattled']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70.0,5120.0,70.0,415.0,190,Land Snake Pokémon,70.0,1000000.0,1.5,100.0,Dunsparce,50.0,206.0,65.0,65.0,45.0,normal,,14.0,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/206.png
206,"['Hyper Cutter', 'Sand Veil', 'Immunity']",0.5,1.0,1.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0,4.0,1.0,0.5,1.0,1.0,1.0,2.0,75.0,5120.0,70.0,430.0,60,Flyscorpion Pokémon,105.0,1059860.0,1.1,65.0,Gligar,50.0,207.0,35.0,65.0,85.0,ground,flying,64.8,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/207.png
207,"['Rock Head', 'Sturdy', 'Sheer Force']",0.5,1.0,0.5,0.0,0.5,2.0,2.0,0.5,1.0,1.0,2.0,1.0,0.5,0.0,0.5,0.25,0.5,2.0,125.0,6400.0,70.0,610.0,25,Iron Snake Pokémon,230.0,1000000.0,9.2,75.0,Steelix,50.0,208.0,55.0,95.0,30.0,steel,ground,400.0,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/208.png
208,"['Intimidate', 'Run Away', 'Rattled']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,80.0,5120.0,70.0,300.0,190,Fairy Pokémon,50.0,800000.0,0.6,60.0,Snubbull,24.6,209.0,40.0,40.0,30.0,fairy,,7.8,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/209.png
209,"['Intimidate', 'Quick Feet', 'Rattled']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,120.0,5120.0,70.0,450.0,75,Fairy Pokémon,75.0,800000.0,1.4,90.0,Granbull,24.6,210.0,60.0,60.0,45.0,fairy,,48.7,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/210.png
210,"['Poison Point', 'Swift Swim', 'Intimidate']",0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,95.0,5120.0,70.0,440.0,45,Balloon Pokémon,85.0,1000000.0,0.5,65.0,Qwilfish,50.0,211.0,55.0,55.0,85.0,water,poison,3.9,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/211.png
211,"['Swarm', 'Technician', 'Light Metal']",0.5,1.0,0.5,1.0,0.5,1.0,4.0,1.0,1.0,0.25,1.0,0.5,0.5,0.0,0.5,1.0,0.5,1.0,150.0,6400.0,70.0,600.0,25,Pincer Pokémon,140.0,1000000.0,1.8,70.0,Scizor,50.0,212.0,65.0,100.0,75.0,bug,steel,118.0,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/212.png
212,"['Sturdy', 'Gluttony', 'Contrary']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,2.0,2.0,10.0,5120.0,70.0,505.0,190,Mold Pokémon,230.0,1059860.0,0.6,20.0,Shuckle,50.0,213.0,10.0,230.0,5.0,bug,rock,20.5,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/213.png
213,"['Swarm', 'Guts', 'Moxie']",0.5,0.5,1.0,1.0,2.0,0.5,2.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,2.0,1.0,1.0,1.0,185.0,6400.0,70.0,600.0,45,Singlehorn Pokémon,115.0,1250000.0,1.5,80.0,Heracross,50.0,214.0,40.0,105.0,75.0,bug,fighting,54.0,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/214.png
214,"['Inner Focus', 'Keen Eye', 'Pickpocket']",2.0,0.5,1.0,1.0,2.0,4.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.0,2.0,2.0,1.0,95.0,5120.0,35.0,430.0,60,Sharp Claw Pokémon,55.0,1059860.0,0.9,55.0,Sneasel,50.0,215.0,35.0,75.0,115.0,dark,ice,28.0,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/215.png
215,"['Pickup', 'Quick Feet', 'Honey Gather']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,80.0,5120.0,70.0,330.0,120,Little Bear Pokémon,50.0,1000000.0,0.6,60.0,Teddiursa,50.0,216.0,50.0,50.0,40.0,normal,,8.8,2.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/216.png
